filename,label
page_1\c181.png,kanji
page_1\c182.png,non_kanji
page_1\c183.png,non_kanji
page_1\c184.png,non_kanji
page_1\c185.png,non_kanji
page_1\c186.png,non_kanji
page_1\c187.png,kanji
page_1\c188.png,kanji
page_1\c189.png,non_kanji
page_1\c190.png,non_kanji
page_1\c191.png,kanji
page_1\c192.png,kanji
page_1\c193.png,kanji
page_1\c194.png,kanji
page_1\c195.png,kanji
page_1\c196.png,kanji
page_1\c197.png,kanji
page_1\c198.png,kanji
page_1\c199.png,kanji
page_1\c200.png,kanji
page_1\c201.png,kanji
page_1\c202.png,kanji
page_1\c203.png,non_kanji
page_1\c204.png,kanji
page_1\c205.png,kanji
page_1\c206.png,kanji
page_1\c207.png,kanji
page_1\c208.png,kanji
page_1\c209.png,non_kanji
page_1\c210.png,non_kanji
page_1\c211.png,kanji
page_1\c212.png,kanji
page_1\c213.png,kanji
page_1\c214.png,kanji
page_1\c215.png,non_kanji
page_1\c216.png,non_kanji
page_1\c217.png,non_kanji
page_1\c218.png,kanji
page_1\c219.png,kanji
page_1\c220.png,kanji
page_1\c221.png,kanji
page_1\c222.png,kanji
page_1\c223.png,non_kanji
page_1\c224.png,non_kanji
page_1\c225.png,non_kanji
page_1\c226.png,kanji
page_1\c227.png,kanji
page_1\c228.png,kanji
page_1\c229.png,non_kanji
page_1\c230.png,kanji
page_1\c231.png,non_kanji
page_1\c232.png,non_kanji
page_1\c233.png,kanji
page_1\c234.png,kanji
page_1\c235.png,kanji
page_1\c236.png,kanji
page_1\c237.png,kanji
page_1\c238.png,kanji
page_1\c239.png,kanji
page_1\c240.png,kanji
page_1\c241.png,kanji
page_1\c242.png,kanji
page_1\c243.png,kanji
page_1\c244.png,kanji
page_1\c245.png,non_kanji
page_1\c246.png,non_kanji
page_1\c247.png,non_kanji
page_1\c248.png,non_kanji
page_1\c249.png,kanji
page_1\c250.png,kanji
page_1\c251.png,kanji
page_1\c252.png,kanji
page_1\c253.png,kanji
page_1\c254.png,non_kanji
page_1\c255.png,non_kanji
page_1\c256.png,non_kanji
page_1\c257.png,kanji
page_1\c258.png,non_kanji
page_1\c259.png,non_kanji
page_1\c260.png,non_kanji
page_1\c261.png,non_kanji
page_1\c262.png,non_kanji
page_1\c263.png,kanji
page_1\c264.png,kanji
page_1\c265.png,kanji
page_1\c266.png,kanji
page_1\c267.png,kanji
page_1\c268.png,non_kanji
page_1\c269.png,non_kanji
page_1\c270.png,kanji
page_1\c271.png,kanji
page_1\c272.png,kanji
page_1\c273.png,kanji
page_1\c274.png,kanji
page_1\c275.png,non_kanji
page_1\c276.png,non_kanji
page_1\c277.png,kanji
page_1\c278.png,kanji
page_1\c279.png,kanji
page_1\c280.png,kanji
page_1\c281.png,kanji
page_1\c282.png,kanji
page_1\c283.png,kanji
page_1\c284.png,non_kanji
page_1\c285.png,kanji
page_1\c286.png,kanji
page_1\c287.png,non_kanji
page_1\c288.png,kanji
page_1\c289.png,kanji
page_1\c290.png,kanji
page_1\c291.png,non_kanji
page_1\c292.png,non_kanji
page_1\c293.png,kanji
page_1\c294.png,kanji
page_1\c295.png,kanji
page_1\c296.png,kanji
page_1\c297.png,kanji
page_1\c298.png,kanji
page_1\c299.png,kanji
page_1\c300.png,kanji
page_1\c301.png,kanji
page_1\c302.png,kanji
page_1\c303.png,non_kanji
page_1\c304.png,non_kanji
page_1\c305.png,non_kanji
page_1\c306.png,non_kanji
page_1\c307.png,kanji
page_1\c308.png,kanji
page_1\c309.png,kanji
page_1\c310.png,kanji
page_1\c311.png,kanji
page_1\c312.png,non_kanji
page_1\c313.png,kanji
page_1\c314.png,kanji
page_1\c315.png,kanji
page_1\c316.png,non_kanji
page_1\c317.png,kanji
page_1\c318.png,kanji
page_1\c319.png,non_kanji
page_1\c320.png,non_kanji
page_1\c321.png,kanji
page_1\c322.png,kanji
page_1\c323.png,kanji
page_1\c324.png,kanji
page_1\c325.png,kanji
page_1\c326.png,kanji
page_1\c327.png,non_kanji
page_1\c328.png,non_kanji
page_1\c329.png,kanji
page_1\c330.png,non_kanji
page_1\c331.png,non_kanji
page_1\c332.png,non_kanji
page_1\c333.png,non_kanji
page_1\c334.png,kanji
page_1\c335.png,non_kanji
page_1\c336.png,kanji
page_1\c337.png,kanji
page_1\c338.png,kanji
page_1\c339.png,kanji
page_1\c340.png,kanji
page_1\c341.png,kanji
page_1\c342.png,kanji
page_1\c343.png,non_kanji
page_1\c344.png,kanji
page_1\c345.png,non_kanji
page_1\c346.png,kanji
page_1\c347.png,kanji
page_1\c348.png,non_kanji
page_1\c349.png,kanji
page_1\c350.png,kanji
page_1\c351.png,kanji
page_1\c352.png,kanji
page_1\c353.png,kanji
page_1\c354.png,kanji
page_1\c355.png,non_kanji
page_1\c356.png,kanji
page_1\c357.png,kanji
page_1\c358.png,non_kanji
page_1\c359.png,non_kanji
page_1\c360.png,non_kanji
page_1\c361.png,non_kanji
page_1\c362.png,kanji
page_1\c363.png,non_kanji
page_1\c364.png,non_kanji
page_1\c365.png,non_kanji
page_1\c366.png,non_kanji
page_1\c367.png,kanji
page_1\c368.png,kanji
page_1\c369.png,kanji
page_1\c370.png,kanji
page_1\c371.png,kanji
page_1\c372.png,kanji
page_1\c373.png,kanji
page_1\c374.png,non_kanji
page_1\c375.png,kanji
page_1\c376.png,non_kanji
page_1\c377.png,kanji
page_1\c378.png,kanji
page_1\c379.png,kanji
page_1\c380.png,kanji
page_1\c381.png,kanji
page_1\c382.png,kanji
page_1\c383.png,kanji
page_1\c384.png,kanji
page_1\c385.png,kanji
page_1\c386.png,non_kanji
page_1\c387.png,non_kanji
page_1\c388.png,non_kanji
page_1\c389.png,non_kanji
page_1\c390.png,kanji
page_1\c391.png,kanji
page_1\c392.png,non_kanji
page_1\c393.png,non_kanji
page_1\c394.png,non_kanji
page_1\c395.png,kanji
page_1\c396.png,kanji
page_1\c397.png,kanji
page_1\c398.png,kanji
page_1\c399.png,kanji
page_1\c400.png,kanji
page_1\c401.png,non_kanji
page_1\c402.png,kanji
page_1\c403.png,kanji
page_1\c404.png,non_kanji
page_1\c405.png,non_kanji
page_1\c406.png,non_kanji
page_1\c407.png,kanji
page_1\c408.png,kanji
page_1\c409.png,kanji
page_1\c410.png,kanji
page_1\c411.png,kanji
page_1\c412.png,kanji
page_1\c413.png,kanji
page_1\c414.png,kanji
page_1\c415.png,non_kanji
page_1\c416.png,non_kanji
page_1\c417.png,kanji
page_1\c418.png,kanji
page_1\c419.png,non_kanji
page_1\c420.png,non_kanji
page_1\c421.png,non_kanji
page_1\c422.png,non_kanji
page_1\c423.png,non_kanji
